"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"libpthread-stubs","0.4","MIT","COPYING","libpthread-stubs-0.4.tar.bz2","http://xcb.freedesktop.org/dist","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-none [unknown]"
"mesa3d","21.3.3","MIT, SGI, Khronos","docs/license.rst","mesa-21.3.3.tar.xz","https://archive.mesa3d.org","eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] expat [MIT] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library)] libdrm [MIT] libopenssl [OpenSSL or SSLeay] libpthread-stubs [MIT] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-none [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] zstd [BSD-3-Clause or GPL-2.0]"
"qt5base","5.15.2","GPL-2.0+ or LGPL-3.0, GPL-3.0 with exception(tools), GFDL-1.3 (docs)","LICENSE.GPL2 LICENSE.GPL3 LICENSE.GPL3-EXCEPT LICENSE.LGPLv3 LICENSE.FDL","qtbase-everywhere-src-5.15.2.tar.xz","https://download.qt.io/archive/qt/5.15/5.15.2/submodules","eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] expat [MIT] freetype [Dual FTL/GPL-2.0+] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] jpeg-turbo [IJG (libjpeg), BSD-3-Clause (TurboJPEG), Zlib (SIMD)] kmod [LGPL-2.1+ (library)] libdrm [MIT] libopenssl [OpenSSL or SSLeay] libpng [Libpng-2.0] libpthread-stubs [MIT] libzlib [Zlib] linux-headers [GPL-2.0] mesa3d [MIT, SGI, Khronos] pcre2 [BSD-3-Clause] skeleton-init-common [unknown] skeleton-init-none [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] zstd [BSD-3-Clause or GPL-2.0]"
"qt5declarative","5.15.2","GPL-2.0+ or LGPL-3.0, GPL-3.0 with exception(tools), GFDL-1.3 (docs)","LICENSE.GPL2 LICENSE.GPL3 LICENSE.GPL3-EXCEPT LICENSE.LGPL3 LICENSE.FDL","qtdeclarative-everywhere-src-5.15.2.tar.xz","https://download.qt.io/archive/qt/5.15/5.15.2/submodules","eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] expat [MIT] freetype [Dual FTL/GPL-2.0+] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] jpeg-turbo [IJG (libjpeg), BSD-3-Clause (TurboJPEG), Zlib (SIMD)] kmod [LGPL-2.1+ (library)] libdrm [MIT] libopenssl [OpenSSL or SSLeay] libpng [Libpng-2.0] libpthread-stubs [MIT] libzlib [Zlib] linux-headers [GPL-2.0] mesa3d [MIT, SGI, Khronos] pcre2 [BSD-3-Clause] qt5base [GPL-2.0+ or LGPL-3.0, GPL-3.0 with exception(tools), GFDL-1.3 (docs)] skeleton-init-common [unknown] skeleton-init-none [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] zstd [BSD-3-Clause or GPL-2.0]"
"qt5quickcontrols2","5.15.2","GPL-3.0 or LGPL-3.0, GFDL-1.3 (docs)","LICENSE.GPLv3 LICENSE.LGPLv3 LICENSE.FDL","qtquickcontrols2-everywhere-src-5.15.2.tar.xz","https://download.qt.io/archive/qt/5.15/5.15.2/submodules","eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] expat [MIT] freetype [Dual FTL/GPL-2.0+] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] jpeg-turbo [IJG (libjpeg), BSD-3-Clause (TurboJPEG), Zlib (SIMD)] kmod [LGPL-2.1+ (library)] libdrm [MIT] libopenssl [OpenSSL or SSLeay] libpng [Libpng-2.0] libpthread-stubs [MIT] libzlib [Zlib] linux-headers [GPL-2.0] mesa3d [MIT, SGI, Khronos] pcre2 [BSD-3-Clause] qt5base [GPL-2.0+ or LGPL-3.0, GPL-3.0 with exception(tools), GFDL-1.3 (docs)] qt5declarative [GPL-2.0+ or LGPL-3.0, GPL-3.0 with exception(tools), GFDL-1.3 (docs)] skeleton-init-common [unknown] skeleton-init-none [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] zstd [BSD-3-Clause or GPL-2.0]"
"qt5svg","5.15.2","GPL-2.0+ or LGPL-3.0, GPL-3.0 with exception(tools), GFDL-1.3 (docs)","LICENSE.GPL2 LICENSE.GPLv3 LICENSE.LGPLv3 LICENSE.FDL","qtsvg-everywhere-src-5.15.2.tar.xz","https://download.qt.io/archive/qt/5.15/5.15.2/submodules","eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] expat [MIT] freetype [Dual FTL/GPL-2.0+] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] jpeg-turbo [IJG (libjpeg), BSD-3-Clause (TurboJPEG), Zlib (SIMD)] kmod [LGPL-2.1+ (library)] libdrm [MIT] libopenssl [OpenSSL or SSLeay] libpng [Libpng-2.0] libpthread-stubs [MIT] libzlib [Zlib] linux-headers [GPL-2.0] mesa3d [MIT, SGI, Khronos] pcre2 [BSD-3-Clause] qt5base [GPL-2.0+ or LGPL-3.0, GPL-3.0 with exception(tools), GFDL-1.3 (docs)] skeleton-init-common [unknown] skeleton-init-none [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] zstd [BSD-3-Clause or GPL-2.0]"
"qt5tools","5.15.2","GPL-2.0+ or LGPL-3.0, GPL-3.0 with exception(tools), GFDL-1.3 (docs)","LICENSE.GPL2 LICENSE.GPL3 LICENSE.GPL3-EXCEPT LICENSE.LGPL3 LICENSE.FDL","qttools-everywhere-src-5.15.2.tar.xz","https://download.qt.io/archive/qt/5.15/5.15.2/submodules","eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] expat [MIT] freetype [Dual FTL/GPL-2.0+] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] jpeg-turbo [IJG (libjpeg), BSD-3-Clause (TurboJPEG), Zlib (SIMD)] kmod [LGPL-2.1+ (library)] libdrm [MIT] libopenssl [OpenSSL or SSLeay] libpng [Libpng-2.0] libpthread-stubs [MIT] libzlib [Zlib] linux-headers [GPL-2.0] mesa3d [MIT, SGI, Khronos] pcre2 [BSD-3-Clause] qt5base [GPL-2.0+ or LGPL-3.0, GPL-3.0 with exception(tools), GFDL-1.3 (docs)] qt5declarative [GPL-2.0+ or LGPL-3.0, GPL-3.0 with exception(tools), GFDL-1.3 (docs)] skeleton-init-common [unknown] skeleton-init-none [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] zstd [BSD-3-Clause or GPL-2.0]"
"linux","custom","GPL-2.0","","linux-b42c23e39f9f5ada0c1dba16cadd93d3f376fdbd.tar.gz","https://github.com/raspberrypi/linux/archive/b42c23e39f9f5ada0c1dba16cadd93d3f376fdbd","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-none [unknown]"
"rpi-firmware-custom","827fdd073638fa7b7292d1148fe0af7465111eae","BSD-3c","boot/LICENCE.broadcom","rpi-firmware-custom-827fdd073638fa7b7292d1148fe0af7465111eae.tar.gz","https://github.com/raspberrypi/firmware/archive/827fdd073638fa7b7292d1148fe0af7465111eae","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-none [unknown]"
"rpi-imager","qml","Apache-2.0","","rpi-imager-qml.tar.gz","/devwork/rpi-imager/embedded/buildroot/../../src","eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] expat [MIT] freetype [Dual FTL/GPL-2.0+] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] jpeg-turbo [IJG (libjpeg), BSD-3-Clause (TurboJPEG), Zlib (SIMD)] kmod [LGPL-2.1+ (library)] libarchive [BSD-2-Clause, BSD-3-Clause, CC0-1.0, OpenSSL, Apache-2.0] libcurl [curl] libdrm [MIT] libopenssl [OpenSSL or SSLeay] libpng [Libpng-2.0] libpthread-stubs [MIT] libzlib [Zlib] linux-headers [GPL-2.0] mesa3d [MIT, SGI, Khronos] pcre2 [BSD-3-Clause] qt5base [GPL-2.0+ or LGPL-3.0, GPL-3.0 with exception(tools), GFDL-1.3 (docs)] qt5declarative [GPL-2.0+ or LGPL-3.0, GPL-3.0 with exception(tools), GFDL-1.3 (docs)] qt5quickcontrols2 [GPL-3.0 or LGPL-3.0, GFDL-1.3 (docs)] qt5svg [GPL-2.0+ or LGPL-3.0, GPL-3.0 with exception(tools), GFDL-1.3 (docs)] qt5tools [GPL-2.0+ or LGPL-3.0, GPL-3.0 with exception(tools), GFDL-1.3 (docs)] skeleton-init-common [unknown] skeleton-init-none [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] zstd [BSD-3-Clause or GPL-2.0]"
